post_id,text,likes,reposts,replies,timestamp_utc,hours_since_post,amplification_raw,amplification_norm,velocity_raw,velocity_norm,author_username,scraped_at_utc,label
2084487544016908625,bagi masyarakat tolol bodoh goblok idiot iq setara gorila mental bansos cocok dipimpin kdm,0,0,0,Tue Aug 04 03:52:13 +0000 2026,24.19240128027777,0.0,0.0,0.0,0.0,BayuYuniar35293,2026-08-05T04:03:45.644609+00:00,0
2074770407064731662,tidak benar kabar bahwa pesepeda akan dikenai pajak hoaks atau rumor yang berulang kali muncul ini sudah dibantah resmi oleh pemerintah kementerian perhubungan kemenhub sudah membantah berkali kali sejak 2020 mereka hanya sedang menyiapkan regulasi keselamatan pesepeda,2,2,0,Wed Jul 08 08:19:47 +0000 2026,660.4745477894444,1.9459101490553128,0.1788212997841811,0.0060470958608572,3.7828253743521065e-05,suaradotcom,2026-08-04T20:48:15.372042+00:00,0
2068506353744990331,puyeng ga lu kalau jadi pln jual listrik harus murah terpaksa beli coal murah supplier coal males jual ke elu kabel lu dicolongin gardu lu dipretretelin pemerintah mau bayar subsidi tapi ternyata duit cair kapan kapan pemerintah mau bantu push produsen coal kasih,75,18,10,Sun Jun 21 01:28:40 +0000 2026,1082.8811558227778,4.844187086458591,0.4451612689408135,0.0950288686602475,0.0005944632331543,ValuableBill,2026-08-05T04:21:32.160962+00:00,0
2031696881492041797,realisasi subsidi amp kompensasi bbm listrik rp 51 5 t di awal tahun naik 382 6,1,1,0,Wed Mar 11 11:40:58 +0000 2026,3520.6861353991667,1.3862943611198906,0.1273948643822471,0.0005679097804589,3.5526202615191e-06,detikfinance,2026-08-05T04:22:08.087437+00:00,0
2084826420770164765,menteri energi dan sumber daya mineral esdm bahlil lahadalia memastikan pemerintah tidak akan menaikkan harga bahan bakar minyak bbm bersubsidi meski harga minyak dunia terus berfluktuasi kebijakan tersebut merupakan arahan langsung presiden prabowo subianto usai rapat,2,0,0,Wed Aug 05 02:18:47 +0000 2026,1.7601275097222222,1.0986122886681098,0.1009580414151594,0.7246042050431499,0.0045328389631496,Metro_TV,2026-08-05T04:04:23.459035+00:00,0
1566624023882059776,14 14 jadi bagaimana mau kita dorong dpr dan pemerintah membikin undang undangnya wahai para pengguna kendaraan bermotor yang getol menyinggung nyinggung soal pajak untuk sepeda,1,0,0,Mon Sep 05 03:07:28 +0000 2022,34313.68610262194,0.6931471805599453,0.0636974321911235,2.9142041311681743e-05,1.8230115061979264e-07,B2WIndonesia,2026-08-04T20:48:37.969439+00:00,0
2046531311943483804,bang maap numpang tanya lu mending pajak 25 beneran dipake buat benerin healthcare rapihin kota subsidi listrik transum dll atau pajak 11 buat sesi ayah gula prabowo teddy di swiss,12,0,0,Tue Apr 21 10:07:42 +0000 2026,2538.236875220278,2.5649493574615367,0.2357085080236325,0.0047258292903292,2.9562929653606184e-05,NandasChamber,2026-08-05T04:21:54.750793+00:00,0
2068188581060088125,default banget mbg bikin negara bangkrut gak punya uang beban dilempar ke rakyat dg kenaikan pajak2 dan pengurangan subsidi kali ini siap2 kenaikan tarif listrik,2,0,0,Sat Jun 20 04:25:57 +0000 2026,1103.9268470883333,1.0986122886681098,0.1009580414151594,0.0018100745811999,1.1323114785652202e-05,nonblok67,2026-08-05T04:21:33.649518+00:00,1
2083752104565563415,kejar bansos wkhaha,0,0,0,Sun Aug 02 03:09:50 +0000 2026,72.90494254777776,0.0,0.0,0.0,0.0,AIADigibuy,2026-08-05T04:04:07.793172+00:00,0
2084223763512721764,walaupun kita sudah tahu sama tahu mohon kiranya dapat menertibkan penggunaan qr code bbm subsidi ini adalah rekaman percakapan saya tentang adanya alphard 2024 yang menggunakan pertalite saya bertanya karena di sebelah ada innova mengisi solar,1,0,0,Mon Aug 03 10:24:02 +0000 2026,41.67351471333333,0.6931471805599453,0.0636974321911235,0.0234337388592824,0.0001465922552123,jalmiburung,2026-08-05T04:04:26.652968+00:00,0
2032681279729316251,sepasang lansia di bowalato nias didatangi sejumlah petugas pln mempertanyakan penggunaan listrik di rumahnya karena token jarang diisi menurut si kakek sejak februari 2025 meteran di rumahnya sdh disetujui utk mendapatkan subsidi pemakaian listrik pasangan lansia ini memang,28,11,12,Sat Mar 14 04:52:37 +0000 2026,3455.491968448056,4.23410650459726,0.3890973223734472,0.0147548440631553,9.230050225927752e-05,vita_AVP,2026-08-05T04:22:08.086413+00:00,0
